Sunrise/sunset (full year; text version) for TORONTO ON for 2021
Date,Nautical Twilight Start,Civil Twilight Start,Sun rise,Local noon,Sun set,Civil Twilight End,Nautical Twilight End,Hours of illumination (day),Hours of illumination (sky),Hours of illumination (total),Local Sidereal Time at 00:00 EST (hh:mm:ss)
Feb  4 2021,6:26,7:00,7:30,12:31,17:33,18:03,18:37,10.04,1.01,11.05,8:40:52
Feb  5 2021,6:25,6:59,7:29,12:31,17:34,18:05,18:39,10.09,1.01,11.09,8:44:48
Feb  6 2021,6:24,6:58,7:28,12:32,17:36,18:06,18:40,10.13,1.00,11.13,8:48:45
Feb  7 2021,6:23,6:57,7:27,12:32,17:37,18:07,18:41,10.17,1.00,11.17,8:52:41
Feb  8 2021,6:21,6:55,7:25,12:32,17:38,18:08,18:42,10.22,1.00,11.22,8:56:38
Feb  9 2021,6:20,6:54,7:24,12:32,17:40,18:10,18:44,10.26,1.00,11.26,9:00:35
Feb 10 2021,6:19,6:53,7:23,12:32,17:41,18:11,18:45,10.31,0.99,11.30,9:04:31
Feb 11 2021,6:18,6:52,7:21,12:32,17:43,18:12,18:46,10.35,0.99,11.34,9:08:28
Feb 12 2021,6:17,6:50,7:20,12:32,17:44,18:14,18:47,10.40,0.99,11.39,9:12:24
Feb 13 2021,6:15,6:49,7:19,12:32,17:45,18:15,18:49,10.45,0.99,11.43,9:16:21
Feb 14 2021,6:14,6:48,7:17,12:32,17:47,18:16,18:50,10.49,0.98,11.48,9:20:17
Feb 15 2021,6:13,6:46,7:16,12:32,17:48,18:17,18:51,10.54,0.98,11.52,9:24:14
Feb 16 2021,6:11,6:45,7:14,12:31,17:49,18:19,18:52,10.59,0.98,11.57,9:28:10
Feb 17 2021,6:10,6:43,7:13,12:31,17:51,18:20,18:54,10.63,0.98,11.61,9:32:07
Feb 18 2021,6:08,6:42,7:11,12:31,17:52,18:21,18:55,10.68,0.98,11.66,9:36:04
Feb 19 2021,6:07,6:40,7:10,12:31,17:53,18:23,18:56,10.73,0.97,11.70,9:40:00
Feb 20 2021,6:06,6:39,7:08,12:31,17:55,18:24,18:57,10.78,0.97,11.75,9:43:57
Feb 21 2021,6:04,6:37,7:07,12:31,17:56,18:25,18:59,10.83,0.97,11.80,9:47:53
Feb 22 2021,6:03,6:36,7:05,12:31,17:57,18:27,19:00,10.87,0.97,11.84,9:51:50
Feb 23 2021,6:01,6:34,7:03,12:31,17:59,18:28,19:01,10.92,0.97,11.89,9:55:46
Feb 24 2021,6:00,6:33,7:02,12:31,18:00,18:29,19:02,10.97,0.97,11.94,9:59:43
Feb 25 2021,5:58,6:31,7:00,12:30,18:01,18:30,19:04,11.02,0.96,11.98,10:03:39
Feb 26 2021,5:56,6:30,6:59,12:30,18:03,18:32,19:05,11.07,0.96,12.03,10:07:36
Feb 27 2021,5:55,6:28,6:57,12:30,18:04,18:33,19:06,11.12,0.96,12.08,10:11:33
Feb 28 2021,5:53,6:26,6:55,12:30,18:05,18:34,19:07,11.17,0.96,12.13,10:15:29
Mar  1 2021,5:52,6:25,6:54,12:30,18:07,18:35,19:09,11.22,0.96,12.18,10:19:26
Mar  2 2021,5:50,6:23,6:52,12:29,18:08,18:37,19:10,11.27,0.96,12.23,10:23:22
Mar  3 2021,5:48,6:21,6:50,12:29,18:09,18:38,19:11,11.32,0.96,12.27,10:27:19
Mar  4 2021,5:47,6:20,6:48,12:29,18:10,18:39,19:12,11.37,0.96,12.32,10:31:15
Mar  5 2021,5:45,6:18,6:47,12:29,18:12,18:40,19:14,11.42,0.96,12.37,10:35:12
Mar  6 2021,5:43,6:16,6:45,12:29,18:13,18:42,19:15,11.47,0.96,12.42,10:39:08
Mar  7 2021,5:41,6:15,6:43,12:28,18:14,18:43,19:16,11.52,0.95,12.47,10:43:05
Mar  8 2021,5:40,6:13,6:41,12:28,18:16,18:44,19:17,11.57,0.95,12.52,10:47:02
Mar  9 2021,5:38,6:11,6:40,12:28,18:17,18:45,19:19,11.62,0.95,12.57,10:50:58
Mar 10 2021,5:36,6:09,6:38,12:28,18:18,18:47,19:20,11.67,0.95,12.62,10:54:55
Mar 11 2021,5:34,6:08,6:36,12:27,18:19,18:48,19:21,11.72,0.95,12.67,10:58:51
Mar 12 2021,5:33,6:06,6:34,12:27,18:21,18:49,19:22,11.77,0.95,12.72,11:02:48
Mar 13 2021,5:31,6:04,6:33,12:27,18:22,18:50,19:24,11.82,0.95,12.77,11:06:44
Mar 14 2021,5:29,6:02,6:31,12:27,18:23,18:52,19:25,11.87,0.95,12.82,11:10:41
Mar 15 2021,5:27,6:00,6:29,12:26,18:24,18:53,19:26,11.92,0.95,12.87,11:14:37
Mar 16 2021,5:25,5:59,6:27,12:26,18:25,18:54,19:28,11.97,0.95,12.92,11:18:34
Mar 17 2021,5:23,5:57,6:25,12:26,18:27,18:55,19:29,12.02,0.95,12.97,11:22:31
Mar 18 2021,5:22,5:55,6:24,12:25,18:28,18:57,19:30,12.07,0.95,13.02,11:26:27
Mar 19 2021,5:20,5:53,6:22,12:25,18:29,18:58,19:31,12.12,0.95,13.08,11:30:24
Mar 20 2021,5:18,5:51,6:20,12:25,18:30,18:59,19:33,12.17,0.95,13.13,11:34:20
Mar 21 2021,5:16,5:50,6:18,12:25,18:32,19:00,19:34,12.22,0.96,13.18,11:38:17
Mar 22 2021,5:14,5:48,6:16,12:24,18:33,19:01,19:35,12.27,0.96,13.23,11:42:13
Mar 23 2021,5:12,5:46,6:15,12:24,18:34,19:03,19:37,12.32,0.96,13.28,11:46:10
Mar 24 2021,5:10,5:44,6:13,12:24,18:35,19:04,19:38,12.37,0.96,13.33,11:50:06
Mar 25 2021,5:08,5:42,6:11,12:23,18:36,19:05,19:39,12.42,0.96,13.38,11:54:03
Mar 26 2021,5:07,5:40,6:09,12:23,18:38,19:06,19:41,12.47,0.96,13.43,11:58:00
Mar 27 2021,5:05,5:39,6:07,12:23,18:39,19:08,19:42,12.52,0.96,13.48,12:01:56
Mar 28 2021,5:03,5:37,6:06,12:22,18:40,19:09,19:43,12.57,0.96,13.54,12:05:53
Mar 29 2021,5:01,5:35,6:04,12:22,18:41,19:10,19:44,12.62,0.96,13.59,12:09:49
Mar 30 2021,4:59,5:33,6:02,12:22,18:42,19:11,19:46,12.67,0.96,13.64,12:13:46
Mar 31 2021,4:57,5:31,6:00,12:22,18:44,19:13,19:47,12.72,0.97,13.69,12:17:42
Apr  1 2021,4:55,5:29,5:58,12:21,18:45,19:14,19:48,12.77,0.97,13.74,12:21:39
Apr  2 2021,4:53,5:28,5:57,12:21,18:46,19:15,19:50,12.82,0.97,13.79,12:25:35
Apr  3 2021,4:51,5:26,5:55,12:21,18:47,19:16,19:51,12.87,0.97,13.84,12:29:32
Apr  4 2021,4:49,5:24,5:53,12:20,18:48,19:18,19:53,12.92,0.97,13.90,12:33:29
Apr  5 2021,4:47,5:22,5:51,12:20,18:50,19:19,19:54,12.97,0.97,13.95,12:37:25
Apr  6 2021,4:45,5:20,5:50,12:20,18:51,19:20,19:55,13.02,0.98,14.00,12:41:22
Apr  7 2021,4:43,5:18,5:48,12:19,18:52,19:21,19:57,13.07,0.98,14.05,12:45:18
Apr  8 2021,4:41,5:17,5:46,12:19,18:53,19:23,19:58,13.12,0.98,14.10,12:49:15
Apr  9 2021,4:40,5:15,5:44,12:19,18:54,19:24,19:59,13.17,0.98,14.15,12:53:11
Apr 10 2021,4:38,5:13,5:43,12:19,18:56,19:25,20:01,13.22,0.99,14.20,12:57:08
Apr 11 2021,4:36,5:11,5:41,12:18,18:57,19:27,20:02,13.27,0.99,14.25,13:01:04
Apr 12 2021,4:34,5:09,5:39,12:18,18:58,19:28,20:04,13.31,0.99,14.30,13:05:01
Apr 13 2021,4:32,5:08,5:37,12:18,18:59,19:29,20:05,13.36,0.99,14.36,13:08:58
Apr 14 2021,4:30,5:06,5:36,12:18,19:00,19:30,20:06,13.41,1.00,14.41,13:12:54
Apr 15 2021,4:28,5:04,5:34,12:17,19:02,19:32,20:08,13.46,1.00,14.46,13:16:51
Apr 16 2021,4:26,5:02,5:32,12:17,19:03,19:33,20:09,13.51,1.00,14.51,13:20:47
Apr 17 2021,4:24,5:01,5:31,12:17,19:04,19:34,20:11,13.55,1.00,14.56,13:24:44
Apr 18 2021,4:22,4:59,5:29,12:17,19:05,19:35,20:12,13.60,1.01,14.61,13:28:40
Apr 19 2021,4:21,4:57,5:27,12:17,19:06,19:37,20:14,13.65,1.01,14.66,13:32:37
Apr 20 2021,4:19,4:56,5:26,12:16,19:08,19:38,20:15,13.70,1.01,14.71,13:36:33
Apr 21 2021,4:17,4:54,5:24,12:16,19:09,19:39,20:17,13.74,1.02,14.76,13:40:30
Apr 22 2021,4:15,4:52,5:23,12:16,19:10,19:41,20:18,13.79,1.02,14.81,13:44:27
Apr 23 2021,4:13,4:50,5:21,12:16,19:11,19:42,20:20,13.83,1.02,14.86,13:48:23
Apr 24 2021,4:11,4:49,5:20,12:16,19:12,19:43,20:21,13.88,1.03,14.91,13:52:20
Apr 25 2021,4:09,4:47,5:18,12:15,19:14,19:45,20:22,13.92,1.03,14.95,13:56:16
Apr 26 2021,4:08,4:46,5:17,12:15,19:15,19:46,20:24,13.97,1.03,15.00,14:00:13
Apr 27 2021,4:06,4:44,5:15,12:15,19:16,19:47,20:25,14.01,1.04,15.05,14:04:09
Apr 28 2021,4:04,4:42,5:14,12:15,19:17,19:48,20:27,14.06,1.04,15.10,14:08:06
Apr 29 2021,4:02,4:41,5:12,12:15,19:18,19:50,20:28,14.10,1.04,15.15,14:12:02
Apr 30 2021,4:01,4:39,5:11,12:15,19:19,19:51,20:30,14.15,1.05,15.19,14:15:59
May  1 2021,3:59,4:38,5:09,12:15,19:21,19:52,20:31,14.19,1.05,15.24,14:19:56
May  2 2021,3:57,4:36,5:08,12:14,19:22,19:54,20:33,14.23,1.06,15.29,14:23:52
May  3 2021,3:55,4:35,5:06,12:14,19:23,19:55,20:34,14.28,1.06,15.33,14:27:49
May  4 2021,3:54,4:33,5:05,12:14,19:24,19:56,20:36,14.32,1.06,15.38,14:31:45
May  5 2021,3:52,4:32,5:04,12:14,19:25,19:57,20:37,14.36,1.07,15.43,14:35:42
May  6 2021,3:50,4:30,5:02,12:14,19:26,19:59,20:39,14.40,1.07,15.47,14:39:38
May  7 2021,3:49,4:29,5:01,12:14,19:28,20:00,20:40,14.44,1.08,15.52,14:43:35
May  8 2021,3:47,4:28,5:00,12:14,19:29,20:01,20:42,14.48,1.08,15.56,14:47:31
May  9 2021,3:46,4:26,4:59,12:14,19:30,20:02,20:43,14.52,1.08,15.60,14:51:28
May 10 2021,3:44,4:25,4:57,12:14,19:31,20:04,20:45,14.56,1.09,15.65,14:55:25
May 11 2021,3:43,4:24,4:56,12:14,19:32,20:05,20:46,14.60,1.09,15.69,14:59:21
May 12 2021,3:41,4:22,4:55,12:14,19:33,20:06,20:48,14.64,1.10,15.73,15:03:18
May 13 2021,3:40,4:21,4:54,12:14,19:34,20:07,20:49,14.67,1.10,15.77,15:07:14
May 14 2021,3:38,4:20,4:53,12:14,19:35,20:09,20:51,14.71,1.10,15.81,15:11:11
May 15 2021,3:37,4:19,4:52,12:14,19:37,20:10,20:52,14.75,1.11,15.85,15:15:07
May 16 2021,3:35,4:18,4:51,12:14,19:38,20:11,20:53,14.78,1.11,15.89,15:19:04
May 17 2021,3:34,4:16,4:50,12:14,19:39,20:12,20:55,14.82,1.12,15.93,15:23:00
May 18 2021,3:33,4:15,4:49,12:14,19:40,20:13,20:56,14.85,1.12,15.97,15:26:57
May 19 2021,3:31,4:14,4:48,12:14,19:41,20:15,20:58,14.88,1.12,16.01,15:30:54
May 20 2021,3:30,4:13,4:47,12:14,19:42,20:16,20:59,14.91,1.13,16.04,15:34:50
May 21 2021,3:29,4:12,4:46,12:14,19:43,20:17,21:00,14.95,1.13,16.08,15:38:47
May 22 2021,3:28,4:11,4:45,12:14,19:44,20:18,21:02,14.98,1.14,16.11,15:42:43
May 23 2021,3:27,4:10,4:44,12:14,19:45,20:19,21:03,15.01,1.14,16.15,15:46:40
May 24 2021,3:26,4:09,4:44,12:14,19:46,20:20,21:04,15.04,1.14,16.18,15:50:36
May 25 2021,3:24,4:08,4:43,12:15,19:47,20:21,21:05,15.07,1.15,16.21,15:54:33
May 26 2021,3:23,4:08,4:42,12:15,19:48,20:22,21:07,15.09,1.15,16.24,15:58:29
May 27 2021,3:22,4:07,4:41,12:15,19:49,20:23,21:08,15.12,1.15,16.27,16:02:26
May 28 2021,3:21,4:06,4:41,12:15,19:49,20:24,21:09,15.15,1.16,16.30,16:06:23
May 29 2021,3:20,4:05,4:40,12:15,19:50,20:25,21:10,15.17,1.16,16.33,16:10:19
May 30 2021,3:20,4:05,4:40,12:15,19:51,20:26,21:11,15.19,1.16,16.36,16:14:16
May 31 2021,3:19,4:04,4:39,12:15,19:52,20:27,21:12,15.22,1.17,16.39,16:18:12
Jun  1 2021,3:18,4:03,4:38,12:15,19:53,20:28,21:14,15.24,1.17,16.41,16:22:09
Jun  2 2021,3:17,4:03,4:38,12:16,19:54,20:29,21:15,15.26,1.17,16.43,16:26:05
Jun  3 2021,3:17,4:02,4:38,12:16,19:54,20:30,21:16,15.28,1.18,16.46,16:30:02
Jun  4 2021,3:16,4:02,4:37,12:16,19:55,20:31,21:17,15.30,1.18,16.48,16:33:58
Jun  5 2021,3:15,4:01,4:37,12:16,19:56,20:31,21:18,15.32,1.18,16.50,16:37:55
Jun  6 2021,3:15,4:01,4:36,12:16,19:56,20:32,21:18,15.33,1.18,16.52,16:41:52
Jun  7 2021,3:14,4:01,4:36,12:16,19:57,20:33,21:19,15.35,1.19,16.54,16:45:48
Jun  8 2021,3:14,4:00,4:36,12:17,19:58,20:33,21:20,15.37,1.19,16.55,16:49:45
Jun  9 2021,3:13,4:00,4:36,12:17,19:58,20:34,21:21,15.38,1.19,16.57,16:53:41
Jun 10 2021,3:13,4:00,4:35,12:17,19:59,20:35,21:22,15.39,1.19,16.58,16:57:38
Jun 11 2021,3:13,3:59,4:35,12:17,19:59,20:35,21:22,15.40,1.19,16.60,17:01:34
Jun 12 2021,3:12,3:59,4:35,12:17,20:00,20:36,21:23,15.41,1.20,16.61,17:05:31
Jun 13 2021,3:12,3:59,4:35,12:18,20:00,20:36,21:23,15.42,1.20,16.62,17:09:27
Jun 14 2021,3:12,3:59,4:35,12:18,20:01,20:37,21:24,15.43,1.20,16.63,17:13:24
Jun 15 2021,3:12,3:59,4:35,12:18,20:01,20:37,21:25,15.44,1.20,16.64,17:17:21
Jun 16 2021,3:12,3:59,4:35,12:18,20:02,20:38,21:25,15.44,1.20,16.64,17:21:17
Jun 17 2021,3:12,3:59,4:35,12:19,20:02,20:38,21:25,15.45,1.20,16.65,17:25:14
Jun 18 2021,3:12,3:59,4:35,12:19,20:02,20:38,21:26,15.45,1.20,16.65,17:29:10
Jun 19 2021,3:12,3:59,4:35,12:19,20:03,20:39,21:26,15.45,1.20,16.66,17:33:07
Jun 20 2021,3:12,4:00,4:36,12:19,20:03,20:39,21:26,15.45,1.20,16.66,17:37:03
Jun 21 2021,3:12,4:00,4:36,12:19,20:03,20:39,21:26,15.45,1.20,16.66,17:41:00
Jun 22 2021,3:13,4:00,4:36,12:20,20:03,20:39,21:27,15.45,1.20,16.66,17:44:56
Jun 23 2021,3:13,4:00,4:36,12:20,20:03,20:39,21:27,15.45,1.20,16.65,17:48:53
Jun 24 2021,3:13,4:01,4:37,12:20,20:03,20:39,21:27,15.45,1.20,16.65,17:52:50
Jun 25 2021,3:14,4:01,4:37,12:20,20:03,20:39,21:27,15.44,1.20,16.64,17:56:46
Jun 26 2021,3:14,4:01,4:37,12:20,20:03,20:39,21:27,15.44,1.20,16.64,18:00:43
Jun 27 2021,3:15,4:02,4:38,12:21,20:03,20:39,21:26,15.43,1.20,16.63,18:04:39
Jun 28 2021,3:15,4:02,4:38,12:21,20:03,20:39,21:26,15.42,1.20,16.62,18:08:36
Jun 29 2021,3:16,4:03,4:39,12:21,20:03,20:39,21:26,15.41,1.20,16.61,18:12:32
Jun 30 2021,3:16,4:03,4:39,12:21,20:03,20:39,21:26,15.40,1.19,16.60,18:16:29
Jul  1 2021,3:17,4:04,4:40,12:21,20:03,20:39,21:25,15.39,1.19,16.58,18:20:25
Jul  2 2021,3:18,4:04,4:40,12:22,20:03,20:39,21:25,15.38,1.19,16.57,18:24:22
Jul  3 2021,3:19,4:05,4:41,12:22,20:03,20:38,21:25,15.36,1.19,16.55,18:28:19
Jul  4 2021,3:19,4:06,4:41,12:22,20:02,20:38,21:24,15.35,1.19,16.53,18:32:15
Jul  5 2021,3:20,4:07,4:42,12:22,20:02,20:37,21:24,15.33,1.18,16.52,18:36:12
Jul  6 2021,3:21,4:07,4:43,12:22,20:02,20:37,21:23,15.32,1.18,16.50,18:40:08
Jul  7 2021,3:22,4:08,4:43,12:23,20:01,20:37,21:22,15.30,1.18,16.48,18:44:05
Jul  8 2021,3:23,4:09,4:44,12:23,20:01,20:36,21:22,15.28,1.18,16.45,18:48:01
Jul  9 2021,3:24,4:10,4:45,12:23,20:00,20:36,21:21,15.26,1.17,16.43,18:51:58
Jul 10 2021,3:25,4:10,4:46,12:23,20:00,20:35,21:20,15.24,1.17,16.41,18:55:54
Jul 11 2021,3:26,4:11,4:46,12:23,19:59,20:34,21:19,15.21,1.17,16.38,18:59:51
Jul 12 2021,3:27,4:12,4:47,12:23,19:59,20:34,21:19,15.19,1.16,16.36,19:03:48
Jul 13 2021,3:28,4:13,4:48,12:23,19:58,20:33,21:18,15.17,1.16,16.33,19:07:44
Jul 14 2021,3:29,4:14,4:49,12:23,19:57,20:32,21:17,15.14,1.16,16.30,19:11:41
Jul 15 2021,3:30,4:15,4:50,12:24,19:57,20:31,21:16,15.12,1.15,16.27,19:15:37
Jul 16 2021,3:32,4:16,4:51,12:24,19:56,20:31,21:15,15.09,1.15,16.24,19:19:34
Jul 17 2021,3:33,4:17,4:52,12:24,19:55,20:30,21:14,15.06,1.15,16.21,19:23:30
Jul 18 2021,3:34,4:18,4:52,12:24,19:55,20:29,21:13,15.03,1.14,16.18,19:27:27
Jul 19 2021,3:35,4:19,4:53,12:24,19:54,20:28,21:11,15.01,1.14,16.15,19:31:23
Jul 20 2021,3:37,4:20,4:54,12:24,19:53,20:27,21:10,14.98,1.14,16.11,19:35:20
Jul 21 2021,3:38,4:21,4:55,12:24,19:52,20:26,21:09,14.94,1.13,16.08,19:39:17
Jul 22 2021,3:39,4:22,4:56,12:24,19:51,20:25,21:08,14.91,1.13,16.04,19:43:13
Jul 23 2021,3:41,4:23,4:57,12:24,19:50,20:24,21:07,14.88,1.12,16.01,19:47:10
Jul 24 2021,3:42,4:25,4:58,12:24,19:49,20:23,21:05,14.85,1.12,15.97,19:51:06
Jul 25 2021,3:43,4:26,4:59,12:24,19:48,20:22,21:04,14.81,1.12,15.93,19:55:03
Jul 26 2021,3:45,4:27,5:00,12:24,19:47,20:20,21:03,14.78,1.11,15.89,19:58:59
Jul 27 2021,3:46,4:28,5:01,12:24,19:46,20:19,21:01,14.75,1.11,15.85,20:02:56
Jul 28 2021,3:47,4:29,5:02,12:24,19:45,20:18,21:00,14.71,1.10,15.81,20:06:52
Jul 29 2021,3:49,4:30,5:03,12:24,19:44,20:17,20:58,14.67,1.10,15.77,20:10:49
Jul 30 2021,3:50,4:32,5:04,12:24,19:43,20:15,20:57,14.64,1.10,15.73,20:14:46
Jul 31 2021,3:52,4:33,5:06,12:24,19:41,20:14,20:55,14.60,1.09,15.69,20:18:42
Aug  1 2021,3:53,4:34,5:07,12:24,19:40,20:13,20:54,14.56,1.09,15.65,20:22:39
Aug  2 2021,3:54,4:35,5:08,12:24,19:39,20:12,20:52,14.52,1.08,15.61,20:26:35
Aug  3 2021,3:56,4:36,5:09,12:24,19:38,20:10,20:50,14.48,1.08,15.56,20:30:32
Aug  4 2021,3:57,4:38,5:10,12:24,19:37,20:09,20:49,14.44,1.08,15.52,20:34:28
Aug  5 2021,3:59,4:39,5:11,12:23,19:35,20:07,20:47,14.40,1.07,15.48,20:38:25
Aug  6 2021,4:00,4:40,5:12,12:23,19:34,20:06,20:46,14.36,1.07,15.43,20:42:21
Aug  7 2021,4:01,4:41,5:13,12:23,19:33,20:04,20:44,14.32,1.06,15.39,20:46:18
Aug  8 2021,4:03,4:42,5:14,12:23,19:31,20:03,20:42,14.28,1.06,15.34,20:50:15
Aug  9 2021,4:04,4:44,5:15,12:23,19:30,20:01,20:40,14.24,1.06,15.29,20:54:11
Aug 10 2021,4:06,4:45,5:17,12:23,19:28,20:00,20:39,14.20,1.05,15.25,20:58:08
Aug 11 2021,4:07,4:46,5:18,12:23,19:27,19:58,20:37,14.15,1.05,15.20,21:02:04
Aug 12 2021,4:09,4:47,5:19,12:22,19:25,19:57,20:35,14.11,1.05,15.16,21:06:01
Aug 13 2021,4:10,4:49,5:20,12:22,19:24,19:55,20:33,14.07,1.04,15.11,21:09:57
Aug 14 2021,4:11,4:50,5:21,12:22,19:22,19:53,20:32,14.02,1.04,15.06,21:13:54
Aug 15 2021,4:13,4:51,5:22,12:22,19:21,19:52,20:30,13.98,1.03,15.01,21:17:50
Aug 16 2021,4:14,4:52,5:23,12:22,19:19,19:50,20:28,13.93,1.03,14.97,21:21:47
Aug 17 2021,4:16,4:54,5:24,12:21,19:18,19:49,20:26,13.89,1.03,14.92,21:25:44
Aug 18 2021,4:17,4:55,5:26,12:21,19:16,19:47,20:24,13.84,1.02,14.87,21:29:40
Aug 19 2021,4:18,4:56,5:27,12:21,19:15,19:45,20:22,13.80,1.02,14.82,21:33:37
Aug 20 2021,4:20,4:57,5:28,12:21,19:13,19:43,20:21,13.75,1.02,14.77,21:37:33
Aug 21 2021,4:21,4:58,5:29,12:21,19:11,19:42,20:19,13.71,1.01,14.72,21:41:30
Aug 22 2021,4:23,5:00,5:30,12:20,19:10,19:40,20:17,13.66,1.01,14.67,21:45:26
Aug 23 2021,4:24,5:01,5:31,12:20,19:08,19:38,20:15,13.62,1.01,14.62,21:49:23
Aug 24 2021,4:25,5:02,5:32,12:20,19:06,19:37,20:13,13.57,1.01,14.57,21:53:19
Aug 25 2021,4:27,5:03,5:33,12:19,19:05,19:35,20:11,13.52,1.00,14.52,21:57:16
Aug 26 2021,4:28,5:04,5:35,12:19,19:03,19:33,20:09,13.48,1.00,14.47,22:01:13
Aug 27 2021,4:30,5:06,5:36,12:19,19:01,19:31,20:07,13.43,1.00,14.42,22:05:09
Aug 28 2021,4:31,5:07,5:37,12:19,19:00,19:29,20:05,13.38,0.99,14.37,22:09:06
Aug 29 2021,4:32,5:08,5:38,12:18,18:58,19:28,20:03,13.33,0.99,14.32,22:13:02
Aug 30 2021,4:34,5:09,5:39,12:18,18:56,19:26,20:01,13.29,0.99,14.27,22:16:59
Aug 31 2021,4:35,5:11,5:40,12:18,18:54,19:24,19:59,13.24,0.99,14.22,22:20:55
Sep  1 2021,4:36,5:12,5:41,12:17,18:53,19:22,19:58,13.19,0.98,14.17,22:24:52
Sep  2 2021,4:37,5:13,5:42,12:17,18:51,19:20,19:56,13.14,0.98,14.12,22:28:48
Sep  3 2021,4:39,5:14,5:44,12:17,18:49,19:18,19:54,13.09,0.98,14.07,22:32:45
Sep  4 2021,4:40,5:15,5:45,12:16,18:47,19:17,19:52,13.04,0.98,14.02,22:36:42
Sep  5 2021,4:41,5:16,5:46,12:16,18:46,19:15,19:50,13.00,0.98,13.97,22:40:38
Sep  6 2021,4:43,5:18,5:47,12:16,18:44,19:13,19:48,12.95,0.97,13.92,22:44:35
Sep  7 2021,4:44,5:19,5:48,12:15,18:42,19:11,19:46,12.90,0.97,13.87,22:48:31
